Business_characteristics,increase,stay about the same,decrease,net_balance_pp
Finance and insurance,18.7,65.0,16.2,2.5
Construction,15.1,61.5,23.3,-8.2
"Arts, entertainment and recreation",15.2,55.5,23.5,-8.3
"Professional, scientific and technical services",16.9,55.0,27.8,-10.9
Manufacturing,19.5,49.9,30.6,-11.1
"Mining, quarrying, and oil and gas extraction",12.1,61.4,26.5,-14.4
Wholesale trade,15.3,53.2,31.4,-16.1
Real estate and rental and leasing,11.0,60.5,27.3,-16.3
Retail trade,14.6,52.4,33.0,-18.4
Health care and social assistance,5.8,59.9,27.8,-22.0
Transportation and warehousing,13.1,45.8,41.0,-27.9
Accommodation and food services,14.2,41.4,44.2,-30.0
"Agriculture, forestry, fishing and hunting",6.5,45.8,47.4,-40.9
